Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Total_active_power,Avg_Sub1,Avg_Sub2,Avg_Sub3,Total_active_power_next,month,quarter,year,is_month_end,total_sub_ratio,sub1_to_total,sub2_to_total,sub3_to_total,total_lag_1,Avg_Sub1_lag_1,Avg_Sub2_lag_1,Avg_Sub3_lag_1,total_lag_2,Avg_Sub1_lag_2,Avg_Sub2_lag_2,Avg_Sub3_lag_2,total_lag_3,Avg_Sub1_lag_3,Avg_Sub2_lag_3,Avg_Sub3_lag_3,total_lag_12,Avg_Sub1_lag_12,Avg_Sub2_lag_12,Avg_Sub3_lag_12,total_ma_3,total_ma_6,total_ma_12,sin_month,cos_month,target
2007-12-31,72605.6,4950.602,10790639.565,304424.1,74090.0,82931.0,362423.0,72605.6,2390.0,2675.1935483870966,11691.064516129032,65173.831,12,4,2007,1,4.333043792978621,0.03291757109644435,0.03684555390200062,0.16102152610995613,55922.096,1694.15,2455.5333333333333,9990.183333333332,49281.414,1394.1290322580646,2836.8387096774195,8260.645161290322,41881.842,1761.3666666666666,2510.4666666666667,7546.966666666666,41826.806,1720.9375,3047.4375,10186.625,49028.450666666664,41129.15933333334,46126.38925,-2.4492935982947064e-16,1.0,65173.831
2008-01-31,65173.831,3908.725,10742445.205,275964.7,61761.5,62912.5,312191.5,65173.831,1992.3064516129032,2029.4354838709678,10070.693548387097,49338.049,1,1,2008,1,4.624738646105004,0.03056911679187469,0.03113880913139766,0.15452050913482587,72605.6,2390.0,2675.1935483870966,11691.064516129032,55922.096,1694.15,2455.5333333333333,9990.183333333332,49281.414,1394.1290322580646,2836.8387096774195,8260.645161290322,69017.296,1820.4193548387098,2557.2419354838707,10632.59677419355,59269.70333333333,47274.404166666674,48691.28875000001,0.49999999999999994,0.8660254037844387,49338.049
2008-02-29,49338.049,3640.142,10047568.025,207739.5,40228.5,56646.0,255969.0,49338.049,1387.1896551724137,1953.3103448275863,8826.51724137931,55592.196,2,1,2008,1,4.055065265478855,0.028116021676747163,0.03959034425596331,0.17889878947948085,65173.831,1992.3064516129032,2029.4354838709678,10070.693548387097,72605.6,2390.0,2675.1935483870966,11691.064516129032,55922.096,1694.15,2455.5333333333333,9990.183333333332,56496.828,1699.4285714285713,2308.5714285714284,9653.857142857143,64567.17566666667,53164.22966666666,48371.0,0.8660254037844386,0.5000000000000001,55592.196
2008-03-31,55592.196,4531.532,10772764.215,233684.4,63110.0,79277.5,279688.0,55592.196,2035.8064516129032,2557.3387096774195,9022.193548387097,48209.992,3,1,2008,1,4.08305641052368,0.03662036397362146,0.046001757327187066,0.16229244745768087,49338.049,1387.1896551724137,1953.3103448275863,8826.51724137931,65173.831,1992.3064516129032,2029.4354838709678,10070.693548387097,72605.6,2390.0,2675.1935483870966,11691.064516129032,58862.721,1960.2903225806451,3379.4193548387098,9366.483870967742,62372.49333333334,55700.472,47774.43508333334,1.0,6.123233995736766e-17,48209.992
2008-04-30,48209.992,5361.76,10420755.46,202913.0,47080.0,70871.0,295678.0,48209.992,1569.3333333333333,2362.366666666667,9855.933333333332,45724.874,4,2,2008,1,3.4966111176924,0.03255203471789278,0.04900159839617204,0.20443756417411008,55592.196,2035.8064516129032,2557.3387096774195,9022.193548387097,49338.049,1387.1896551724137,1953.3103448275863,8826.51724137931,65173.831,1992.3064516129032,2029.4354838709678,10070.693548387097,36529.192,1402.6,1280.5666666666666,6316.766666666666,56701.35866666667,57985.530999999995,47501.89133333333,0.8660254037844387,-0.4999999999999998,45724.874
2008-05-31,45724.874,6896.914,10730016.89,195710.2,53084.0,58910.0,290622.0,45724.874,1712.3870967741937,1900.3225806451612,9374.90322580645,42944.69,5,2,2008,1,3.5206526665606663,0.03744979366753845,0.0415599303924853,0.2050285196150885,48209.992,1569.3333333333333,2362.366666666667,9855.933333333332,55592.196,2035.8064516129032,2557.3387096774195,9022.193548387097,49338.049,1387.1896551724137,1953.3103448275863,8826.51724137931,44008.872,2443.1290322580644,2326.8387096774195,7401.548387096775,51046.74566666666,57806.96066666667,48475.29133333333,0.49999999999999994,-0.8660254037844387,42944.69
2008-06-30,42944.69,6550.561,10323729.92,185822.0,68728.0,63449.5,290103.5,42944.69,2290.9333333333334,2114.983333333333,9670.116666666667,35478.298,6,2,2008,1,3.050908518261515,0.053346137399835306,0.049249006881487166,0.22517607337872658,45724.874,1712.3870967741937,1900.3225806451612,9374.90322580645,48209.992,1569.3333333333333,2362.366666666667,9855.933333333332,55592.196,2035.8064516129032,2557.3387096774195,9022.193548387097,35734.131,1989.1,2332.1666666666665,6307.533333333334,49842.354,56107.42366666667,48618.2915,1.2246467991473532e-16,-1.0,35478.298
2008-07-31,35478.298,6551.518,10703369.35,154615.6,47313.0,44416.0,227228.0,35478.298,1526.225806451613,1432.774193548387,7329.935483870968,12344.277,7,3,2008,1,3.4481990926676303,0.04301857452270153,0.04038452446474143,0.20660335746294728,42944.69,2290.9333333333334,2114.983333333333,9670.116666666667,45724.874,1712.3870967741937,1900.3225806451612,9374.90322580645,48209.992,1569.3333333333333,2362.366666666667,9855.933333333332,29834.878,1388.774193548387,1800.516129032258,4994.387096774193,45626.51866666667,51163.938666666676,49219.17141666667,-0.4999999999999997,-0.8660254037844388,12344.277
2008-08-31,12344.277,5705.295,10732929.175,56413.5,3873.0,22264.0,79682.0,12344.277,124.93548387096774,718.1935483870968,2570.3870967741937,42667.792,8,3,2008,1,3.6162937374194497,0.010120923555990176,0.058180284547008854,0.20822500149455442,35478.298,1526.225806451613,1432.774193548387,7329.935483870968,42944.69,2290.9333333333334,2114.983333333333,9670.116666666667,45724.874,1712.3870967741937,1900.3225806451612,9374.90322580645,34120.595,1169.3870967741937,1603.6290322580646,7278.080645161291,41382.62066666667,46214.68316666666,49689.456416666675,-0.8660254037844384,-0.5000000000000004,42667.792
2008-09-30,42667.792,5399.154,10373381.89,181973.4,52376.0,44590.0,284282.0,42667.792,1745.8666666666666,1486.3333333333333,9476.066666666668,50771.237,9,3,2008,1,3.357483213026665,0.04091767079643274,0.03483501872638109,0.22208945489062729,12344.277,124.93548387096774,718.1935483870968,2570.3870967741937,35478.298,1526.225806451613,1432.774193548387,7329.935483870968,42944.69,2290.9333333333334,2114.983333333333,9670.116666666667,41881.842,1761.3666666666666,2510.4666666666667,7546.966666666666,30255.755000000005,40049.0545,47874.76325000001,-1.0,-1.8369701987210297e-16,50771.237
